,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
0,0,New Zealand,Australia,Australia,44 runs,Auckland,"Feb 17, 2005",T20I # 1
1,1,England,Australia,England,100 runs,Southampton,"Jun 13, 2005",T20I # 2
2,2,South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,"Oct 21, 2005",T20I # 3
3,0,Australia,South Africa,Australia,95 runs,Brisbane,"Jan 9, 2006",T20I # 4
4,1,New Zealand,West Indies,tied,,Auckland,"Feb 16, 2006",T20I # 5
5,2,South Africa,Australia,South Africa,2 runs,Johannesburg,"Feb 24, 2006",T20I # 6
6,3,England,Sri Lanka,Sri Lanka,2 runs,Southampton,"Jun 15, 2006",T20I # 7
7,4,England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8
8,5,Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006",T20I # 9
9,6,South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",T20I # 10
10,7,New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,"Dec 22, 2006",T20I # 11
11,8,New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,"Dec 26, 2006",T20I # 12
12,0,Australia,England,Australia,77 runs,Sydney,"Jan 9, 2007",T20I # 13
13,1,South Africa,Pakistan,South Africa,10 wickets,Johannesburg,"Feb 2, 2007",T20I # 14
14,2,England,West Indies,West Indies,15 runs,The Oval,"Jun 28, 2007",T20I # 15
15,3,England,West Indies,England,5 wickets,The Oval,"Jun 29, 2007",T20I # 16
16,4,Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),"Sep 1, 2007",T20I # 17
17,5,Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),"Sep 2, 2007",T20I # 18
18,6,Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),"Sep 4, 2007",T20I # 19
19,7,South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Sep 11, 2007",T20I # 20
20,8,Kenya,New Zealand,New Zealand,9 wickets,Durban,"Sep 12, 2007",T20I # 21
21,9,Pakistan,Scotland,Pakistan,51 runs,Durban,"Sep 12, 2007",T20I # 22
22,10,Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,"Sep 12, 2007",T20I # 23
23,11,Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007",T20I # 24
24,12,England,Zimbabwe,England,50 runs,Cape Town,"Sep 13, 2007",T20I # 25
25,13,India,Scotland,no result,,Durban,"Sep 13, 2007",T20I # 26
26,14,Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,"Sep 14, 2007",T20I # 27
27,15,Australia,England,Australia,8 wickets,Cape Town,"Sep 14, 2007",T20I # 28
28,16,India,Pakistan,tied,,Durban,"Sep 14, 2007",T20I # 29
